table_name	column_name	ordinal_position	data_type	is_nullable	column_default
device_scoring_rule	device_id	1	int	YES	<NULL>
device_scoring_rule	id	2	int	NO	<NULL>
device_scoring_rule	create_time	3	datetime	YES	<NULL>
device_scoring_rule	name	4	varchar	YES	<NULL>
device_scoring_rule	rule_content	5	longtext	YES	<NULL>
general_key_pat	id	1	int	NO	<NULL>
general_key_pat	is_average	2	int	YES	<NULL>
general_key_pat	is_cable	3	int	YES	<NULL>
general_key_pat	is_random	4	int	YES	<NULL>
general_key_pat	message_type	5	int	YES	<NULL>
general_key_pat	protocol_version	6	int	NO	<NULL>
general_key_pat	status	7	int	YES	<NULL>
general_key_pat	total_number	8	int	YES	<NULL>
general_key_pat	train_type	9	int	YES	<NULL>
general_key_pat	create_time	10	datetime	YES	<NULL>
general_key_pat	end_time	11	datetime	YES	<NULL>
general_key_pat	start_time	12	datetime	YES	<NULL>
general_key_pat	valid_time	13	bigint	YES	<NULL>
general_key_pat	create_user	14	varchar	YES	<NULL>
general_key_pat	rule_content	15	longtext	YES	<NULL>
general_key_pat	rule_id	16	varchar	YES	<NULL>
general_key_pat	title	17	varchar	YES	<NULL>
general_key_pat_page	page_number	1	int	YES	<NULL>
general_key_pat_page	sort	2	int	YES	<NULL>
general_key_pat_page	train_id	3	int	YES	<NULL>
general_key_pat_page	id	4	varchar	NO	<NULL>
general_key_pat_page	key	5	varchar	YES	<NULL>
general_key_pat_page	time	6	varchar	YES	<NULL>
general_key_pat_page	value	7	varchar	YES	<NULL>
general_key_pat_train_more	id	1	int	NO	<NULL>
general_key_pat_train_more	page_number	2	int	YES	<NULL>
general_key_pat_train_more	train_id	3	int	YES	<NULL>
general_key_pat_train_more	more_group	4	longtext	YES	<NULL>
general_key_pat_train_more	more_line	5	longtext	YES	<NULL>
general_key_pat_train_more	user_id	6	varchar	YES	<NULL>
general_key_pat_user	attempt	1	int	NO	<NULL>
general_key_pat_user	error_number	2	int	YES	<NULL>
general_key_pat_user	id	3	int	NO	<NULL>
general_key_pat_user	is_finish	4	int	YES	<NULL>
general_key_pat_user	role	5	int	YES	<NULL>
general_key_pat_user	score	6	decimal	YES	<NULL>
general_key_pat_user	train_id	7	int	YES	<NULL>
general_key_pat_user	active_millis	8	bigint	YES	<NULL>
general_key_pat_user	capture_started_at	9	datetime	YES	<NULL>
general_key_pat_user	create_time	10	datetime	YES	<NULL>
general_key_pat_user	finish_time	11	datetime	YES	<NULL>
general_key_pat_user	accuracy	12	varchar	YES	<NULL>
general_key_pat_user	capture_pages	13	longtext	NO	<NULL>
general_key_pat_user	content	14	varchar	YES	<NULL>
general_key_pat_user	deduct_info	15	longtext	YES	<NULL>
general_key_pat_user	duration	16	varchar	YES	<NULL>
general_key_pat_user	speed	17	varchar	YES	<NULL>
general_key_pat_user	statistic_info	18	longtext	YES	<NULL>
general_key_pat_user	user_id	19	varchar	YES	<NULL>
general_key_pat_user_value	id	1	int	NO	<NULL>
general_key_pat_user_value	page_number	2	int	YES	<NULL>
general_key_pat_user_value	sort	3	int	YES	<NULL>
general_key_pat_user_value	train_id	4	int	YES	<NULL>
general_key_pat_user_value	key	5	varchar	YES	<NULL>
general_key_pat_user_value	time	6	longtext	YES	<NULL>
general_key_pat_user_value	user_id	7	varchar	YES	<NULL>
general_key_pat_user_value	value	8	longtext	YES	<NULL>
general_key_pat_user_value_resolver	id	1	int	NO	<NULL>
general_key_pat_user_value_resolver	page_number	2	int	YES	<NULL>
general_key_pat_user_value_resolver	sort	3	int	YES	<NULL>
general_key_pat_user_value_resolver	train_id	4	int	YES	<NULL>
general_key_pat_user_value_resolver	key	5	varchar	YES	<NULL>
general_key_pat_user_value_resolver	time	6	longtext	YES	<NULL>
general_key_pat_user_value_resolver	user_id	7	varchar	YES	<NULL>
general_key_pat_user_value_resolver	value	8	longtext	YES	<NULL>
general_telex_pat	is_cable	1	int	YES	<NULL>
general_telex_pat	pat_type	2	int	YES	<NULL>
general_telex_pat	status	3	int	YES	<NULL>
general_telex_pat	total_number	4	int	YES	<NULL>
general_telex_pat	train_type	5	int	YES	<NULL>
general_telex_pat	type	6	int	YES	<NULL>
general_telex_pat	create_time	7	datetime	YES	<NULL>
general_telex_pat	end_time	8	datetime	YES	<NULL>
general_telex_pat	start_time	9	datetime	YES	<NULL>
general_telex_pat	valid_time	10	bigint	YES	<NULL>
general_telex_pat	create_user	11	varchar	YES	<NULL>
general_telex_pat	id	12	varchar	NO	<NULL>
general_telex_pat	rule_content	13	varchar	YES	<NULL>
general_telex_pat	rule_id	14	varchar	YES	<NULL>
general_telex_pat	title	15	varchar	YES	<NULL>
general_telex_pat_page	page_number	1	int	YES	<NULL>
general_telex_pat_page	sort	2	int	YES	<NULL>
general_telex_pat_page	id	3	varchar	NO	<NULL>
general_telex_pat_page	key	4	varchar	YES	<NULL>
general_telex_pat_page	train_id	5	varchar	YES	<NULL>
general_telex_pat_page	value	6	varchar	YES	<NULL>
general_telex_pat_user	accuracy	1	decimal	YES	<NULL>
general_telex_pat_user	error_number	2	int	YES	<NULL>
general_telex_pat_user	is_finish	3	int	YES	<NULL>
general_telex_pat_user	role	4	int	YES	<NULL>
general_telex_pat_user	score	5	decimal	YES	<NULL>
general_telex_pat_user	speed	6	decimal	YES	<NULL>
general_telex_pat_user	valid_time	7	int	YES	<NULL>
general_telex_pat_user	create_time	8	datetime	YES	<NULL>
general_telex_pat_user	finish_time	9	datetime	YES	<NULL>
general_telex_pat_user	deduct_info	10	varchar	YES	<NULL>
general_telex_pat_user	duration	11	varchar	YES	<NULL>
general_telex_pat_user	id	12	varchar	NO	<NULL>
general_telex_pat_user	speed_log	13	varchar	YES	<NULL>
general_telex_pat_user	statistic_info	14	varchar	YES	<NULL>
general_telex_pat_user	train_id	15	varchar	YES	<NULL>
general_telex_pat_user	user_id	16	varchar	YES	<NULL>
general_telex_pat_user	valid_time_log	17	varchar	YES	<NULL>
general_telex_pat_user_value	page_number	1	int	YES	<NULL>
general_telex_pat_user_value	sort	2	int	YES	<NULL>
general_telex_pat_user_value	id	3	varchar	NO	<NULL>
general_telex_pat_user_value	key	4	varchar	YES	<NULL>
general_telex_pat_user_value	train_id	5	varchar	YES	<NULL>
general_telex_pat_user_value	user_id	6	varchar	YES	<NULL>
general_telex_pat_user_value	value	7	varchar	YES	<NULL>
general_ticker_pat	code_sort	1	int	YES	<NULL>
general_ticker_pat	id	2	int	NO	<NULL>
general_ticker_pat	is_average	3	int	YES	<NULL>
general_ticker_pat	is_cable	4	int	YES	<NULL>
general_ticker_pat	is_random	5	int	YES	<NULL>
general_ticker_pat	message_number	6	int	YES	<NULL>
general_ticker_pat	protocol_version	7	int	NO	<NULL>
general_ticker_pat	rule_score	8	int	YES	<NULL>
general_ticker_pat	status	9	int	YES	<NULL>
general_ticker_pat	train_type	10	int	YES	<NULL>
general_ticker_pat	type	11	int	YES	<NULL>
general_ticker_pat	create_time	12	datetime	YES	<NULL>
general_ticker_pat	end_time	13	datetime	YES	<NULL>
general_ticker_pat	start_time	14	datetime	YES	<NULL>
general_ticker_pat	valid_time	15	bigint	YES	<NULL>
general_ticker_pat	create_user	16	varchar	YES	<NULL>
general_ticker_pat	name	17	varchar	YES	<NULL>
general_ticker_pat	rule_content	18	longtext	YES	<NULL>
general_ticker_pat	rule_id	19	varchar	YES	<NULL>
general_ticker_pat_train_page	floor_number	1	int	YES	<NULL>
general_ticker_pat_train_page	sort	2	int	YES	<NULL>
general_ticker_pat_train_page	train_id	3	int	YES	<NULL>
general_ticker_pat_train_page	id	4	varchar	NO	<NULL>
general_ticker_pat_train_page	mores_key	5	varchar	YES	<NULL>
general_ticker_pat_train_page	mores_time	6	varchar	YES	<NULL>
general_ticker_pat_train_page	mores_value	7	varchar	YES	<NULL>
general_ticker_pat_train_page	pat_keys	8	varchar	YES	<NULL>
general_ticker_pat_train_user	attempt	1	int	NO	<NULL>
general_ticker_pat_train_user	error_number	2	int	YES	<NULL>
general_ticker_pat_train_user	id	3	int	NO	<NULL>
general_ticker_pat_train_user	is_finish	4	int	YES	<NULL>
general_ticker_pat_train_user	lack	5	int	YES	<NULL>
general_ticker_pat_train_user	role	6	int	YES	<NULL>
general_ticker_pat_train_user	score	7	decimal	YES	<NULL>
general_ticker_pat_train_user	train_id	8	int	YES	<NULL>
general_ticker_pat_train_user	active_millis	9	bigint	YES	<NULL>
general_ticker_pat_train_user	capture_started_at	10	datetime	YES	<NULL>
general_ticker_pat_train_user	create_time	11	datetime	YES	<NULL>
general_ticker_pat_train_user	finish_time	12	datetime	YES	<NULL>
general_ticker_pat_train_user	accuracy	13	varchar	YES	<NULL>
